frame,time_ps,dO56_R346,dO56_R483,dO57_R346,dO57_R483,anchor_min,tail_hsa_min,cls,dO38_R408,pep_ecd_min,com_hsa_ecd,lnk_e2e,lnk_rg
176,17600.000,12.393,11.346,13.796,12.930,11.346,3.398,surface,13.240,2.916,47.622,16.144,8.739
177,17700.000,13.134,11.950,13.017,11.580,11.580,3.092,surface,13.296,2.614,47.243,17.987,8.710
178,17800.000,12.008,10.475,13.227,11.350,10.475,3.223,surface,15.112,2.594,47.045,17.512,8.468
179,17900.000,11.879,10.487,13.862,12.264,10.487,3.288,surface,13.861,2.508,47.691,16.730,8.585
180,18000.000,14.259,12.810,13.991,12.097,12.097,3.830,surface,14.247,2.625,48.154,20.632,8.565
181,18100.000,13.654,12.641,13.621,12.100,12.100,3.542,surface,14.454,2.628,47.750,20.882,8.973
182,18200.000,12.601,11.598,12.642,11.333,11.333,3.490,surface,14.048,2.854,47.860,19.209,8.650
183,18300.000,13.391,12.133,12.170,11.198,11.198,3.146,surface,14.327,2.582,47.483,18.799,8.605
184,18400.000,12.657,11.473,13.285,11.863,11.473,3.436,surface,11.522,2.843,47.724,18.003,9.056
185,18500.000,12.674,10.907,13.448,11.378,10.907,3.373,surface,11.821,2.665,47.855,18.070,8.920
186,18600.000,12.992,12.060,12.368,11.375,11.375,3.354,surface,14.225,2.676,47.380,17.781,8.882
187,18700.000,12.400,10.792,12.503,10.619,10.619,3.277,surface,12.489,2.690,47.711,18.141,8.558
188,18800.000,13.189,12.359,13.197,11.870,11.870,3.415,surface,13.861,2.678,47.811,17.812,8.650
189,18900.000,13.194,11.798,13.279,12.459,11.798,3.119,surface,11.139,2.716,47.524,15.889,8.352
190,19000.000,13.842,11.963,13.813,11.862,11.862,3.228,surface,12.043,2.849,46.386,16.811,8.442
191,19100.000,13.292,12.421,13.071,12.819,12.421,3.291,surface,12.183,2.654,47.549,18.609,8.522
192,19200.000,14.524,12.902,13.653,12.551,12.551,3.312,surface,13.436,2.718,47.638,15.156,8.400
193,19300.000,11.633,10.778,13.188,12.208,10.778,3.335,surface,15.491,2.740,48.281,16.127,8.330
194,19400.000,12.832,11.256,13.957,12.316,11.256,3.056,surface,12.640,2.665,48.372,15.945,8.319
195,19500.000,11.947,10.697,13.741,12.633,10.697,3.137,surface,11.733,2.603,48.530,16.142,8.326
196,19600.000,14.694,12.573,16.336,14.088,12.573,3.339,surface,13.618,2.821,48.034,17.999,8.659
