Time_ns,PC1,PC2
67.5,37.21633,-63.16965
67.6,36.27664,-58.212635
67.7,43.929237,-59.67324
67.8,36.538876,-67.67315
67.9,39.148666,-57.326023
68.0,33.913136,-54.395676
68.1,28.416182,-49.88199
68.2,40.418205,-59.601727
68.3,26.877064,-61.45835
68.4,14.75567,-64.63153
68.5,28.931286,-53.69093
68.6,37.145103,-51.2588
68.7,28.994665,-62.24453
68.8,32.275074,-64.113716
68.9,24.087608,-51.220924
69.0,26.60852,-57.299652
69.1,28.668823,-56.582848
69.2,31.870577,-66.81869
69.3,36.346474,-67.744774
69.4,21.458662,-61.28156
69.5,23.717096,-59.799576
69.6,21.94658,-53.842976
69.7,34.791046,-55.13279
69.8,43.919434,-46.743145
69.9,36.295753,-50.385975
70.0,30.05352,-49.183834
70.1,25.49281,-65.289085
70.2,14.142416,-63.29493
70.3,12.878657,-58.092175
70.4,8.217272,-62.896545
70.5,1.3633964,-68.37171
70.6,-2.4608207,-67.51829
70.7,1.2575437,-64.32557
70.8,-0.99758196,-73.646515
70.9,7.4855456,-65.73661
71.0,4.9257092,-72.92787
71.1,-12.82417,-63.671055
71.2,-20.345058,-59.070786
71.3,-19.834719,-60.598717
71.4,-34.095654,-55.110893
71.5,-21.198938,-60.889183
71.6,-22.66274,-54.619545
71.7,-10.713359,-61.144604
71.8,4.2635283,-57.99319
71.9,-4.066183,-54.603546
72.0,-7.886057,-55.865982
72.1,-4.8464046,-61.327038
72.2,-1.291734,-60.222366
72.3,-7.178137,-60.54268
72.4,5.0405407,-59.882774
72.5,-12.701331,-53.79375
72.6,-15.48854,-53.6812
72.7,-17.398916,-57.705162
72.8,-16.080347,-58.871788
72.9,-32.189243,-59.154728
73.0,-12.122707,-60.478275
73.1,-10.353332,-50.754673
73.2,-14.604745,-51.742477
73.3,-21.374111,-34.454464
73.4,-39.728756,-37.661312
73.5,-29.716797,-42.162815
73.6,-29.132607,-46.287075
73.7,-31.888098,-34.353382
73.8,-31.461481,-42.584526
73.9,-29.978048,-41.183727
74.0,-39.439816,-49.404236
74.1,-35.17413,-48.67143
74.2,-29.478628,-44.73276
74.3,-33.43624,-43.891422
74.4,-53.248375,-40.80316
74.5,-42.388325,-45.827877
74.6,-60.542458,-39.78541
74.7,-60.96657,-37.61424
74.8,-55.723053,-29.301746
74.9,-56.214447,-29.989733
75.0,-41.60647,-40.950184
75.1,-53.337433,-26.97686
75.2,-48.245132,-34.349995
75.3,-36.69288,-32.05014
75.4,-46.765762,-22.847336
75.5,-37.0569,-26.351475
75.6,-53.94831,-27.207855
75.7,-40.631016,-32.882706
75.8,-38.994713,-29.821247
75.9,-35.27218,-23.412935
76.0,-40.93914,-27.311602
76.1,-26.572157,-32.035976
76.2,-24.352488,-38.31153
76.3,-21.630207,-48.01875
76.4,-39.831406,-43.51486
76.5,-32.91057,-36.90716
76.6,-38.692616,-51.618713
76.7,-32.95557,-46.40336
76.8,-51.456093,-33.224937
76.9,-40.75644,-33.04071
77.0,-42.283665,-21.424643
77.1,-37.640686,-25.70507
77.2,-28.290756,-18.24847
77.3,-41.172688,-22.61594
77.4,-40.53505,-38.357346
77.5,-35.846313,-35.080856
77.6,-38.39037,-43.58029
77.7,-43.83715,-39.088028
77.8,-49.713833,-44.599598
77.9,-61.016872,-42.798096
78.0,-45.14842,-23.311113
78.1,-51.49501,-33.071465
78.2,-60.416527,-30.801992
78.3,-64.12613,-30.54758
78.4,-68.027275,-35.20619
78.5,-62.530075,-34.41388
78.6,-63.646084,-35.90707
78.7,-56.36434,-40.38715
78.8,-61.63609,-29.704607
78.9,-58.57453,-31.74759
79.0,-65.93506,-38.347504
79.1,-53.39617,-36.355785
79.2,-57.84092,-32.826157
79.3,-45.410778,-32.98074
79.4,-44.19017,-39.501953
79.5,-40.179317,-51.567726
79.6,-41.598976,-43.797863
79.7,-32.331936,-40.43077
79.8,-35.342655,-34.66133
