Time,Potential,Temperature,Pressure,Volume,Density,Box-X,Box-Y,Box-Z
37950.0,-3628774.75,309.7247314453125,-6.959278106689453,3146.04541015625,997.59521484375,12.315948486328125,12.305516242980957,20.758562088012695
37960.0,-3626611.25,309.9382629394531,5.8527703285217285,3146.9697265625,997.3021850585938,12.329927444458008,12.319483757019043,20.71760368347168
37970.0,-3631676.25,310.34002685546875,-53.60905456542969,3143.0244140625,998.5540771484375,12.31136703491211,12.300938606262207,20.754066467285156
37980.0,-3630194.5,310.27410888671875,89.7674789428711,3143.041015625,998.548828125,12.312799453735352,12.302370071411133,20.74934959411621
37990.0,-3627979.0,311.4378356933594,-31.804903030395508,3144.193603515625,998.1827392578125,12.318958282470703,12.308523178100586,20.736207962036133
38000.0,-3634072.5,309.65399169921875,1.0319494009017944,3148.86767578125,996.7011108398438,12.325963020324707,12.315522193908691,20.743436813354492
38010.0,-3631390.25,309.8289794921875,-44.53147888183594,3146.796630859375,997.3570556640625,12.332816123962402,12.322369575500488,20.706762313842773
38020.0,-3633330.5,309.63336181640625,67.9791030883789,3144.329833984375,998.1395263671875,12.317739486694336,12.307306289672852,20.741209030151367
38030.0,-3628082.5,310.534912109375,-60.70167922973633,3146.405029296875,997.481201171875,12.323495864868164,12.313056945800781,20.73551368713379
38040.0,-3633457.0,309.267578125,-41.78268051147461,3140.96484375,999.2088623046875,12.308445930480957,12.298020362854004,20.75031280517578
38050.0,-3632529.5,309.7662658691406,-55.16852951049805,3142.746337890625,998.6424560546875,12.319280624389648,12.308845520019531,20.72557830810547
38060.0,-3631001.25,310.06072998046875,129.857421875,3140.33544921875,999.4091186523438,12.309537887573242,12.299111366271973,20.742473602294922
38070.0,-3634937.75,310.02392578125,-49.67131423950195,3142.909912109375,998.5904541015625,12.319185256958008,12.30875015258789,20.726978302001953
38080.0,-3632315.0,309.2416687011719,-93.4828872680664,3148.467041015625,996.8279418945312,12.317584991455078,12.307151794433594,20.769020080566406
38090.0,-3636209.0,309.6922912597656,1.2053552865982056,3144.45166015625,998.100830078125,12.31783676147461,12.307402610778809,20.741687774658203
38100.0,-3629578.5,310.5731201171875,28.695592880249023,3150.15625,996.2933959960938,12.314482688903809,12.304051399230957,20.790637969970703
38110.0,-3631341.5,310.1400451660156,15.228973388671875,3140.20751953125,999.4498291015625,12.31406307220459,12.303632736206055,20.726388931274414
38120.0,-3633498.25,309.766845703125,29.5943660736084,3143.865234375,998.2870483398438,12.305719375610352,12.295295715332031,20.77867889404297
38130.0,-3633172.25,310.9661560058594,32.732608795166016,3140.64599609375,999.310302734375,12.305191993713379,12.294769287109375,20.75918197631836
38140.0,-3633509.5,309.5950622558594,10.1773099899292,3146.251953125,997.5297241210938,12.311712265014648,12.301283836364746,20.774215698242188
38150.0,-3633504.5,310.76019287109375,53.270748138427734,3144.197265625,998.1815795898438,12.322632789611816,12.31219482421875,20.723867416381836
38160.0,-3632123.75,309.51104736328125,64.12903594970703,3146.62060546875,997.412841796875,12.318861961364746,12.308427810668945,20.75253677368164
38170.0,-3630910.75,310.0897521972656,119.5481185913086,3141.664306640625,998.9863891601562,12.31303882598877,12.30260944366455,20.739452362060547
38180.0,-3635074.5,309.9285888671875,163.64561462402344,3142.528564453125,998.711669921875,12.31069278717041,12.300265312194824,20.75306510925293
